Target,Group,Ring,Channel,Concentration
thermal,1,3,1
thermal,1,135,1
Target,2,5,1
Target,2,6,1
Target,2,7,1
Target,2,8,1
Target,3,9,2
Target,3,10,2
Target,3,11,2
Target,3,12,2
Target,4,13,1
Target,4,14,1
Target,4,15,1
Target,4,16,1
Target,5,17,2
Target,5,18,2
Target,5,19,2
Target,5,20,2
Target,6,21,1
Target,6,22,1
Target,6,23,1
Target,6,24,1
Target,7,25,2
Target,7,26,2
Target,7,27,2
Target,7,28,2
Target,8,29,1
Target,8,30,1
Target,8,31,1
Target,8,32,1
Target,9,33,2
Target,9,34,2
Target,9,35,2
Target,9,36,2
Target,10,37,1
Target,10,38,1
Target,10,39,1
Target,10,40,1
Target,11,41,2
Target,11,42,2
Target,11,43,2
Target,11,44,2
Blank,12,45,1
Blank,12,46,1
Blank,12,47,1
Blank,12,48,1
Blank,13,49,2
Blank,13,50,2
Blank,13,51,2
Blank,13,52,2
Blank,14,53,1
Blank,14,54,1
Blank,14,55,1
Blank,14,56,1
Blank,15,57,2
Blank,15,58,2
Blank,15,59,2
Blank,15,60,2
Blank,16,61,1
Blank,16,62,1
Blank,16,63,1
Blank,16,64,1
Blank,17,65,2
Blank,17,66,2
Blank,17,67,2
Blank,17,68,2
Blank,18,69,1
Blank,18,70,1
Blank,18,71,1
Blank,18,72,1
Blank,19,73,2
Blank,19,74,2
Blank,19,75,2
Blank,19,76,2
Blank,20,77,1
Blank,20,78,1
Blank,20,79,1
Blank,20,80,1
Blank,21,81,2
Blank,21,82,2
Blank,21,83,2
Blank,21,84,2
Blank,22,85,1
Blank,22,86,1
Blank,22,87,1
Blank,22,88,1
Blank,23,89,2
Blank,23,90,2
Blank,23,91,2
Blank,23,92,2
Off-Target,24,93,1
Off-Target,24,94,1
Off-Target,24,95,1
Off-Target,24,96,1
Off-Target,25,97,2
Off-Target,25,98,2
Off-Target,25,99,2
Off-Target,25,100,2
Off-Target,26,101,1
Off-Target,26,102,1
Off-Target,26,103,1
Off-Target,26,104,1
Off-Target,27,105,2
Off-Target,27,106,2
Off-Target,27,107,2
Off-Target,27,108,2
Off-Target,28,109,1
Off-Target,28,110,1
Off-Target,28,111,1
Off-Target,28,112,1
Off-Target,29,113,2
Off-Target,29,114,2
Off-Target,29,115,2
Off-Target,29,116,2
Off-Target,30,117,1
Off-Target,30,118,1
Off-Target,30,119,1
Off-Target,30,120,1
Off-Target,31,121,2
Off-Target,31,122,2
Off-Target,31,123,2
Off-Target,31,124,2
Off-Target,32,125,1
Off-Target,32,126,1
Off-Target,32,127,1
Off-Target,32,128,1
Off-Target,33,129,2
Off-Target,33,130,2
Off-Target,33,131,2
Off-Target,33,132,2
thermal,34,4,2
thermal,34,136,2
